Modelo_ID,Nombre,Categoria,Tipo_Algoritmo,Tiempo_Entrenamiento,Usar_Escalado,Accuracy,Precision,Recall,F1_Score,ROC_AUC,CV_F1_Mean,CV_F1_Std,N_Estimators,Support_Vectors,Features_Activos,Hidden_Layers,N_Neighbors,Parametros_JSON,Ratio_Eficiencia
Boosting_XGBoost_Conservative,XGBoost Conservative,Boosting,Unknown,0.9268038272857666,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"{""objective"": ""binary:logistic"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.8, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": ""logloss"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.1, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 4, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 100, ""n_jobs"": -1, ""num_parallel_tree"": null, ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.8, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": null}",0.0
Boosting_XGBoost_Aggressive,XGBoost Aggressive,Boosting,Unknown,1.583953857421875,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"{""objective"": ""binary:logistic"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.9, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": ""logloss"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": 0.1, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.15, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 6, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 200, ""n_jobs"": -1, ""num_parallel_tree"": null, ""random_state"": 42, ""reg_alpha"": null, ""reg_lambda"": null, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.9, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": null}",0.0
Boosting_XGBoost_Regularized,XGBoost Regularized,Boosting,Unknown,1.8067891597747803,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"{""objective"": ""binary:logistic"", ""base_score"": null, ""booster"": null, ""callbacks"": null, ""colsample_bylevel"": null, ""colsample_bynode"": null, ""colsample_bytree"": 0.7, ""device"": null, ""early_stopping_rounds"": null, ""enable_categorical"": false, ""eval_metric"": ""logloss"", ""feature_types"": null, ""feature_weights"": null, ""gamma"": null, ""grow_policy"": null, ""importance_type"": null, ""interaction_constraints"": null, ""learning_rate"": 0.08, ""max_bin"": null, ""max_cat_threshold"": null, ""max_cat_to_onehot"": null, ""max_delta_step"": null, ""max_depth"": 5, ""max_leaves"": null, ""min_child_weight"": null, ""missing"": NaN, ""monotone_constraints"": null, ""multi_strategy"": null, ""n_estimators"": 150, ""n_jobs"": -1, ""num_parallel_tree"": null, ""random_state"": 42, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""sampling_method"": null, ""scale_pos_weight"": null, ""subsample"": 0.7, ""tree_method"": null, ""validate_parameters"": null, ""verbosity"": null}",0.0
Boosting_LightGBM_Fast,LightGBM Fast,Boosting,Unknown,0.9542984962463379,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 0.8, ""importance_type"": ""split"", ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_samples"": 20, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 100, ""n_jobs"": -1, ""num_leaves"": 31, ""objective"": null, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 0.8, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbosity"": -1}",0.0
Boosting_LightGBM_Balanced,LightGBM Balanced,Boosting,Unknown,1.390838384628296,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"{""boosting_type"": ""gbdt"", ""class_weight"": null, ""colsample_bytree"": 0.9, ""importance_type"": ""split"", ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_samples"": 10, ""min_child_weight"": 0.001, ""min_split_gain"": 0.0, ""n_estimators"": 150, ""n_jobs"": -1, ""num_leaves"": 31, ""objective"": null, ""random_state"": 42, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""subsample"": 0.9, ""subsample_for_bin"": 200000, ""subsample_freq"": 0, ""verbosity"": -1}",0.0
Boosting_CatBoost_Simple,CatBoost Simple,Boosting,Unknown,2.9257826805114746,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"{""iterations"": 100, ""learning_rate"": 0.1, ""depth"": 4, ""l2_leaf_reg"": 3, ""thread_count"": 4, ""random_seed"": 42, ""silent"": true, ""bootstrap_type"": ""Bernoulli"", ""subsample"": 0.8}",0.0
Boosting_CatBoost_Optimized,CatBoost Optimized,Boosting,Unknown,4.372370958328247,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"{""iterations"": 150, ""learning_rate"": 0.08, ""depth"": 6, ""l2_leaf_reg"": 1, ""thread_count"": 4, ""random_seed"": 42, ""silent"": true, ""bagging_temperature"": 1.0, ""bootstrap_type"": ""Bayesian""}",0.0
Boosting_AdaBoost_Classic,AdaBoost Classic,Boosting,Unknown,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,{},0.0
Boosting_AdaBoost_Conservative,AdaBoost Conservative,Boosting,Unknown,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,{},0.0
Boosting_GradientBoosting_Classic,Gradient Boosting Classic,Boosting,Unknown,45.32124638557434,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"{""ccp_alpha"": 0.0, ""criterion"": ""friedman_mse"", ""init"": null, ""learning_rate"": 0.1, ""loss"": ""log_loss"", ""max_depth"": 3, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 100, ""n_iter_no_change"": null, ""random_state"": 42, ""subsample"": 0.8, ""tol"": 0.0001, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",0.0
