Modelo,Tipo,F1-Score,Accuracy,ROC-AUC,Tiempo,Features_Activos,Max_Coef,CV_F1
Ridge_CV,RidgeClassifierCV,0.6554005976946066,0.6391207153502235,0.6899774599638133,1.9658029079437256,57,0.16086226535439616,0.6506744235659481
LogReg_Elastic,LogisticRegression,0.6551625784369652,0.6396423248882265,0.6912661899612789,251.85773134231567,57,0.35853453857603024,0.6510121097793438
LogReg_HighReg,LogisticRegression,0.6549966130699847,0.6394560357675112,0.6914144986828474,13.165276050567627,57,0.480941843649912,0.650966639501785
SGD_Adaptive,SGDClassifier,0.6549253092801882,0.639381520119225,0.6913909326548154,1.5845444202423096,57,0.5084821617449747,0.6511168863844663
LogReg_LBFGS,LogisticRegression,0.6548281272286407,0.639344262295082,0.6914876639483736,2.0411527156829834,57,0.6398726723323708,0.6509374814424713
LogReg_LowReg,LogisticRegression,0.6548268606683071,0.639381520119225,0.6915103020050116,19.13071870803833,57,0.7292102638627812,0.6508911585159639
LogReg_Basic,LogisticRegression,0.6548022397375085,0.639381520119225,0.6914964602281128,17.169156789779663,57,0.6963876721054839,0.6509647211631224
Ridge_Basic,RidgeClassifier,0.654681381274475,0.6385991058122206,0.6901199952585663,0.10140085220336914,57,0.33372513054755826,0.650460987074673
Ridge_LowReg,RidgeClassifier,0.6546567929364854,0.6385991058122206,0.6901220623565215,0.1474626064300537,57,0.3372738639122798,0.6504612343802058
LogReg_L1,LogisticRegression,0.6546362339514978,0.6391952309985097,0.6914760893111676,2510.015731573105,57,0.6280502140389278,0.6510308850166513
Ridge_HighReg,RidgeClassifier,0.6544638723692177,0.6384873323397914,0.6900977406152586,0.21458220481872559,57,0.30205599148224377,0.6504736678961972
SGD_Log,SGDClassifier,0.649993033300822,0.6256333830104321,0.6768037780149285,1.5705115795135498,57,0.652491016786341,0.6456210213300161
SGD_Elastic,SGDClassifier,0.6474809868961331,0.6321535022354694,0.68178181109832,1.9329111576080322,45,0.44690309434301206,0.6336085085465843
SGD_Hinge,SGDClassifier,0.6447157654931833,0.6281296572280178,0.6750247346051824,1.6502537727355957,57,0.5612231031432093,0.6372535866728439
SGD_L1,SGDClassifier,0.6416490106654218,0.628204172876304,0.681096557012751,1.4472339153289795,42,0.41536157895296716,0.6357235894005997
Perceptron_L1,Perceptron,0.5869795664729319,0.5790238450074515,0.6113141473006446,0.9162623882293701,11,4.369235282331355,0.5182812936411969
PA_HighReg,PassiveAggressiveClassifier,0.5744854217593085,0.5524962742175857,0.5713761033385387,0.43530821800231934,57,1.00669601946499,0.5704532886480693
PA_Type2,PassiveAggressiveClassifier,0.5719874804381847,0.5516393442622951,0.5693621498049893,0.5040769577026367,57,1.012494216631415,0.5723801928326241
PA_Basic,PassiveAggressiveClassifier,0.5717436152806431,0.5514157973174366,0.568736108073749,0.4257218837738037,57,1.0332888708318309,0.572221694577104
Perceptron_L2,Perceptron,0.5686179887894873,0.567026825633383,0.5934876195613347,0.3174097537994385,57,37.58089124732518,0.5513928235497862
Perceptron_Basic,Perceptron,0.5642006177379026,0.5584202682563338,0.5783934841427247,0.2758638858795166,57,195.81771315580195,0.56584617025906
