iter	Logloss
0	0.6864707266
1	0.6808143286
2	0.6757941216
3	0.6714700926
4	0.6678453058
5	0.6646826252
6	0.6617643224
7	0.658984125
8	0.6569431095
9	0.6547492271
10	0.652387642
11	0.6505184778
12	0.6487282595
13	0.6471212401
14	0.6455487035
15	0.6443106271
16	0.6426125029
17	0.6414416721
18	0.6400348835
19	0.638517477
20	0.6373315659
21	0.6363099219
22	0.6352783456
23	0.6343646174
24	0.633627819
25	0.6329867653
26	0.6320131703
27	0.6310095075
28	0.6301922252
29	0.6293789254
30	0.6283588949
31	0.6276922463
32	0.6268223457
33	0.626209807
34	0.6254122049
35	0.624602339
36	0.6239122003
37	0.6231936427
38	0.6227031172
39	0.6221446275
40	0.6215952843
41	0.6209603688
42	0.6204340997
43	0.619881685
44	0.6193250343
45	0.6187443591
46	0.6183270085
47	0.6178536848
48	0.6172906597
49	0.6168791295
50	0.6162109031
51	0.6155826449
52	0.6151979187
53	0.6147436578
54	0.6144521705
55	0.6141929013
56	0.6137313617
57	0.6133790598
58	0.6130723693
59	0.6125267188
60	0.6121661021
61	0.611529048
62	0.6110649429
63	0.6104289629
64	0.6101163249
65	0.609582739
66	0.6090830482
67	0.6087283522
68	0.6084083675
69	0.6080069493
70	0.6075692103
71	0.6070120921
72	0.6066247237
73	0.606248248
74	0.6058718986
75	0.6055849649
76	0.6053486822
77	0.6048517792
78	0.6044046716
79	0.604185011
80	0.603846516
81	0.6034902432
82	0.6032816899
83	0.6028436533
84	0.6026492041
85	0.6023788548
86	0.6021469786
87	0.6017218741
88	0.6013481394
89	0.6010293546
90	0.6007612949
91	0.6004277067
92	0.6001299828
93	0.5998779743
94	0.5996313873
95	0.5993767817
96	0.5989274906
97	0.5984915871
98	0.5982949142
99	0.5979693614
100	0.5974423663
101	0.5972063825
102	0.5970165322
103	0.5967220497
104	0.5965897567
105	0.5964460541
106	0.596212974
107	0.5960292829
108	0.5958337648
109	0.5955488402
110	0.5952393041
111	0.5949999356
112	0.5947732071
113	0.5945820861
114	0.5943676657
115	0.5941283446
116	0.5939159527
117	0.5937692345
118	0.5936107082
119	0.593407974
120	0.5931650974
121	0.5929740656
122	0.5928146352
123	0.5926358136
124	0.5923051934
125	0.5918874876
126	0.5916196356
127	0.5913292168
128	0.5910299753
129	0.5908119656
130	0.590635411
131	0.5904004124
132	0.590191907
133	0.5898931516
134	0.5896969928
135	0.5894989907
136	0.5892466335
137	0.5889578806
138	0.5887430056
139	0.5883057321
140	0.5881470423
141	0.5878387985
142	0.5876664932
143	0.5874721899
144	0.587160084
145	0.5866493896
146	0.5863656173
147	0.5860172703
148	0.5857381273
149	0.5854473627
