iter	Passed	Remaining
0	45	6713
1	94	7011
2	139	6821
3	190	6944
4	239	6938
5	291	6996
6	345	7048
7	391	6956
8	436	6846
9	479	6715
10	523	6609
11	564	6487
12	602	6351
13	643	6246
14	698	6288
15	747	6256
16	788	6172
17	839	6152
18	880	6071
19	925	6015
20	971	5966
21	1022	5949
22	1077	5949
23	1127	5921
24	1170	5853
25	1214	5792
26	1263	5754
27	1316	5735
28	1369	5715
29	1425	5703
30	1474	5660
31	1513	5580
32	1554	5509
33	1597	5448
34	1650	5422
35	1696	5373
36	1739	5311
37	1779	5244
38	1823	5191
39	1863	5125
40	1906	5069
41	1947	5008
42	1991	4955
43	2036	4905
44	2077	4847
45	2124	4804
46	2165	4746
47	2213	4704
48	2257	4652
49	2301	4602
50	2339	4540
51	2377	4481
52	2414	4418
53	2458	4371
54	2496	4312
55	2533	4252
56	2577	4205
57	2624	4162
58	2666	4112
59	2712	4068
60	2759	4025
61	2815	3996
62	2856	3944
63	2905	3904
64	2952	3860
65	2999	3817
66	3040	3766
67	3081	3715
68	3124	3667
69	3163	3615
70	3210	3572
71	3260	3532
72	3303	3484
73	3344	3435
74	3385	3385
75	3425	3335
76	3472	3292
77	3520	3250
78	3571	3210
79	3615	3163
80	3658	3116
81	3697	3065
82	3738	3017
83	3773	2964
84	3807	2911
85	3855	2868
86	3900	2824
87	3943	2778
88	3980	2728
89	4026	2684
90	4072	2640
91	4118	2596
92	4156	2547
93	4197	2500
94	4230	2449
95	4271	2402
96	4322	2361
97	4364	2315
98	4408	2271
99	4462	2231
100	4508	2187
101	4550	2141
102	4601	2099
103	4654	2058
104	4696	2012
105	4739	1967
106	4780	1921
107	4821	1874
108	4864	1829
109	4909	1785
110	4946	1737
111	4981	1690
112	5019	1643
113	5059	1597
114	5099	1552
115	5138	1506
116	5185	1462
117	5232	1418
118	5281	1375
119	5322	1330
120	5367	1286
121	5405	1240
122	5443	1194
123	5492	1151
124	5538	1107
125	5580	1062
126	5620	1017
127	5674	975
128	5718	930
129	5758	885
130	5796	840
131	5836	795
132	5876	751
133	5928	707
134	5969	663
135	6014	619
136	6062	575
137	6114	531
138	6162	487
139	6209	443
140	6252	399
141	6303	355
142	6345	310
143	6390	266
144	6437	221
145	6483	177
146	6536	133
147	6576	88
148	6613	44
149	6654	0
